bigram	score	is-math-concept
vector space	1957.41	1
closed formula	1105.03	1
linear combination	1008.42	1
bit string	804.58	1
real number	709.61	1
natural number	691.72	1
linear map	683.74	1
linear system	642.57	1
generating function	569.01	1
chromatic number	536.84	1
integral domain	527.3	1
odd number	517.84	1
complex number	512.65	1
positive integer	480.85	1
square matrix	454.14	1
even number	429.15	1
planar graph	409.49	1
identity matrix	375.34	1
linear transformation	361.94	1
column vector	355.21	1
row operation	335.87	1
commutative ring	323.21	1
direct sum	309.45	1
bipartite graph	300.52	1
direct proof	293.58	1
diagonal matrix	287.59	1
digit number	272.57	1
prime number	265.51	1
truth value	261.47	1
number theory	259.4	1
rational number	258.42	1
matrix h	258.42	1
partial sum	251.3	1
rst row	251.3	1
degree sequence	244.14	1
basis vector	244.14	1
matrix multiplication	236.96	1
identity map	236.96	1
th term	236.96	1
form matrix	236.96	1
nonzero element	229.73	1
factor group	229.73	1
column space	229.73	1
matrix equivalence	229.73	1
map h	222.48	1
sum principle	222.48	1
determinant function	222.48	1
second row	216.16	1
check matrix	215.18	1
ring r	215.18	1
graph theory	215.18	1
linear relationship	215.18	1
string basis	215.18	1
combinatorial proof	207.85	1
row vector	207.85	1
composition series	200.48	1
arbitrary integer	200.48	1
initial term	200.48	1
first term	193.06	1
characteristic equation	193.06	1
row space	193.06	1
basis matrix	193.06	1
matrix a	185.6	1
permutation matrix	185.6	1
linear code	179.08	1
euler formula	178.1	1
dimensional formula	178.1	1
row equivalence	171.53	1
switching function	170.55	1
nonzero vector	170.55	1
third row	163.93	1
nilpotent matrix	163.93	1
linear algebra	162.95	1
n matrix	162.95	1
ring homomorphism	162.95	1
linear factor	162.95	1
different number	162.95	1
many function	162.95	1
few term	162.95	1
vector v	162.95	1
row rank	156.27	1
invertible matrix	155.3	1
odd degree	155.3	1
triangular number	155.3	1
chromatic index	155.3	1
injective function	155.3	1
binomial identity	155.3	1
matrix t	155.3	1
coordinate vector	155.3	1
second component	148.56	1
linear equation	147.59	1
equilateral triangle	139.82	1
nonsingular matrix	139.82	1
constant term	139.82	1
complete graph	139.82	1
row swap	139.82	1
nn matrix	139.82	1
transition matrix	134.0	1
algebraic extension	132.96	1
linear surface	132.96	1
generator matrix	131.99	1
vector addition	131.99	1
possible value	131.99	1
formula =	131.99	1
diophantine equation	131.99	1
elementary matrix	131.99	1
same degree	125.06	1
algebraic structure	124.1	1
map t	124.1	1
class equation	124.1	1
linear independence	124.1	1
dimensional vector	124.1	1
surjective function	124.1	1
next term	124.1	1
arrow diagram	124.1	1
power series	124.1	1
row combination	124.1	1
rst component	124.1	1
previous term	117.09	1
nonzero entry	116.13	1
degree polynomial	116.13	1
linear function	116.13	1
matrix equation	116.13	1
column rank	116.13	1
constructible number	109.05	1
unique factorization	108.09	1
finite number	108.09	1
matrix operation	108.09	1
integer solution	108.09	1
logical structure	108.09	1
logical connective	108.09	1
vector product	108.09	1
reduction matrix	108.09	1
similar matrix	108.09	1
such number	99.96	1
linear group	99.96	1
polynomial ring	99.96	1
second equation	99.96	1
subnormal series	99.96	1
correct proof	99.96	1
bottom equation	99.96	1
rst equation	99.96	1
many vector	99.96	1
homogeneous linear	99.96	1
real variable	99.96	1
integer r	91.74	1
absolute value	91.74	1
large integer	91.74	1
triangular matrix	91.74	1
real root	91.74	1
n vector	91.74	1
other number	91.74	1
connected graph	91.74	1
rst column	91.74	1
w2 vector	86.64	1
same row	84.37	1
small integer	83.43	1
normal series	83.43	1
cubic equation	83.43	1
factorization domain	83.43	1
whole number	83.43	1
logical equivalence	83.43	1
other vector	83.43	1
prior paragraph	83.43	1
nonzero row	83.43	1
matrix similarity	83.43	1
favorite number	75.94	1
mn matrix	75.94	1
computer science	75.0	1
output value	75.0	1
inverse function	75.0	1
orthogonal matrix	75.0	1
matrix addition	75.0	1
gaussian integer	75.0	1
last term	75.0	1
logical form	75.0	1
valid proof	75.0	1
top row	75.0	1
bottom row	75.0	1
different value	75.0	1
proof technique	75.0	1
th row	75.0	1
th component	75.0	1
other row	75.0	1
tall vector	75.0	1
matrix representation	75.0	1
function composition	75.0	1
matrix product	75.0	1
determinant formula	75.0	1
expansion formula	75.0	1
disjoint string	75.0	1
unit vector	67.38	1
function f	66.45	1
exponential function	66.45	1
matrix p	66.45	1
general linear	66.45	1
polynomial equation	66.45	1
ith column	66.45	1
negative integer	66.45	1
other matrix	66.45	1
independent vector	66.45	1
division ring	66.45	1
small degree	66.45	1
quadratic equation	66.45	1
common factor	66.45	1
right triangle	66.45	1
interior angle	66.45	1
few number	66.45	1
-bit string	66.45	1
such string	66.45	1
digit string	66.45	1
induction proof	66.45	1
row reduction	66.45	1
nontrivial vector	66.45	1
original matrix	66.45	1
symmetric matrix	66.45	1
domain vector	66.45	1
rst matrix	66.45	1
computer graphic	66.45	1
distinct eigenvalue	66.45	1
ring failure	58.68	1
input value	57.76	1
binomial theorem	57.76	1
nonzero integer	57.76	1
infinite number	57.76	1
composite number	57.76	1
identity element	57.76	1
upc number	57.76	1
encoding function	57.76	1
binary matrix	57.76	1
matrix group	57.76	1
distinct zero	57.76	1
quartic equation	57.76	1
linear dependence	57.76	1
quadratic formula	57.76	1
polynomial factor	57.76	1
propositional logic	57.76	1
degree vertex	57.76	1
small graph	57.76	1
color theorem	57.76	1
pascal triangle	57.76	1
negative number	57.76	1
recursive formula	57.76	1
many term	57.76	1
contradictory equation	57.76	1
matrix notation	57.76	1
only nonzero	57.76	1
sized matrix	57.76	1
real entry	57.76	1
wide row	57.76	1
equal row	57.76	1
projection map	57.76	1
derivative map	57.76	1
unit matrix	57.76	1
identity form	57.76	1
partial identity	57.76	1
orthogonal vector	57.76	1
magic number	57.76	1
integer entry	49.81	1
map g	48.9	1
inverse map	48.9	1
next theorem	48.9	1
differentiable function	48.9	1
special linear	48.9	1
such integer	48.9	1
symmetric group	48.9	1
matrix h.	48.9	1
low term	48.9	1
same value	48.9	1
number system	48.9	1
small value	48.9	1
minimal degree	48.9	1
complete proof	48.9	1
single number	48.9	1
algebraic closure	48.9	1
linear polynomial	48.9	1
rational function	48.9	1
many number	48.9	1
right angle	48.9	1
final column	48.9	1
different row	48.9	1
next row	48.9	1
few value	48.9	1
random number	48.9	1
second term	48.9	1
second derivative	48.9	1
formal proof	48.9	1
matrix entry	48.9	1
low row	48.9	1
vector sum	48.9	1
second column	48.9	1
number multiplication	48.9	1
real coecient	48.9	1
same vector	48.9	1
full column	48.9	1
w1 vector	48.9	1
matrix time	48.9	1
equivalent matrix	48.9	1
same eigenvalue	48.9	1
single eigenvalue	48.9	1
odd integer	39.85	1
bijective map	39.85	1
multiplicative identity	39.85	1
integer z	39.85	1
differential equation	39.85	1
number z	39.85	1
