bigram	score	is-math-concept	sentence
customer service	138.63	0	# newdoc id = reviews-160442 # sent_id = reviews-160442-0001 # newpar id = reviews-160442-p0001 # text = Extremely bad customer service 1 2 3 4
last night	105.66	0	# sent_id = weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0245 # newpar id = weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-p0063 # text = I went across the bay last night to attend a farmer's market and music event. 1 2 3 4 5 6 7 8 9 10 11-12 11 12 13 14 15 16 17
good place	99.97	0	# newdoc id = answers-20111106215236AAycANO_ans # sent_id = answers-20111106215236AAycANO_ans-0001 # newpar id = answers-20111106215236AAycANO_ans-p0001 # text = What are good places to eat brunch at? ? 1 2 3 4 5 6 7 8 9 10
few day	95.17	0	# sent_id = weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011 # text = Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is). 1 2 3-4 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
conference call	88.37	0	# sent_id = email-enronsent08_02-0085 # newpar id = email-enronsent08_02-p0037 # text = We should try to have a conference call with the west desk to discuss as soon as we can. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
militant islamist	77.43	0	# sent_id = weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0005 # text = According to senior counter terrorism officials, both here and abroad, among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
suicide murder	76.47	0	# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0036 # text = It is fair to say that this creates an unprecedented breeding ground for cruel dictators, terror networks, fanaticism, incitement, suicide murders and general decline. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
natural gas	76.47	0	# sent_id = email-enronsent14_01-0003 # text = I am forwarding for your attention the resume of Peter Percell who has an extensive experience in modeling physical flows of natural gas in pipeline systems. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
price cap	76.47	0	# sent_id = email-enronsent07_01-0027 # text = The central question behind the palace coup is whether Terry Winter, the president of the Independent System Operator, acted alone when he took steps to remove key price caps designed to limit the amount power generators could charge. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
oil change	70.39	0	# sent_id = reviews-127157-0002 # newpar id = reviews-127157-p0002 # text = I have used these guys for new snows, fixing lots of flats, used replacement tires, and oil changes. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
death metal	65.16	0	# sent_id = weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0152 # text = They were death metal brainwashed fans, literally fulfilling the death metal paradigm, er ... morality. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
last week	64.21	0	# sent_id = weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500-0009 # text = As recently as last week the official line stated they had no knowledge he had entered the country. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
great job	64.21	0	# sent_id = email-enronsent20_01-0020 # text = You did a great job at the hearing----it went decidely downhill after you left. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
per cent	64.21	0	# sent_id = newsgroup-groups.google.com_IdeaStockExchange_c6ea783ac3f043ba_ENG_20041120_243700-0013 # text = It has invested $3 billion in the African country's oil industry, which supplies it with seven per cent of its needs. 1 2 3 4 5 6 7 8 9 10-11 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
outer circle	58.86	0	# sent_id = weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0149 # text = The outer circle is largely financed by Saudi Arabia, but also by donations from certain Moslem communities in the United States and Europe and, to a smaller extent, by donations of European Governments to various NGO's and by certain United Nations organizations, whose goals may be noble, but they are infested and exploited by agents of the outer circle. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65
biological weapon	57.92	0	# sent_id = weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0019 # text = By the late 1990s, Iraq had no nuclear or biological weapons program, and had destroyed its chemical weapons stockpiles. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
human right	57.92	0	"# sent_id = weblog-blogspot.com_dakbangla_20041028153019_ENG_20041028_153019-0003 # text = Thus far, none of the many ""human rights"" busybodies across the world have bothered to even notice such a development. 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24"
